"filename", "language", "Markdown", "Swift", "JSON", "HTML", "YAML", "Dart", "C++", "Properties", "Groovy", "XML", "comment", "blank", "total"
"c:\Final\源代码\Front_end\best_flutter_ui_templates\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Final\源代码\Front_end\best_flutter_ui_templates\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 5, 15, 81
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 16, 2, 53
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 2, 13
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Final\源代码\Front_end\best_flutter_ui_templates\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
