Date : 2021-09-13 16:04:03
Directory : c:\Final\源代码\Front_end\best_flutter_ui_templates
Total : 74 files,  8317 codes, 711 comments, 587 blanks, all 9615 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         49 |      7,745 |        578 |        510 |      8,833 |
| JSON       |          3 |        168 |          0 |          3 |        171 |
| XML        |          9 |        134 |         56 |         13 |        203 |
| Groovy     |          3 |        100 |          5 |         24 |        129 |
| HTML       |          1 |         79 |         14 |          6 |         99 |
| YAML       |          2 |         52 |         57 |         17 |        126 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          3 |         13 |          1 |          2 |         16 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         74 |      8,317 |        711 |        587 |      9,615 |
| android                                                                                                        |         13 |        186 |         60 |         37 |        283 |
| android\app                                                                                                    |          8 |        134 |         59 |         26 |        219 |
| android\app\src                                                                                                |          7 |         73 |         54 |         11 |        138 |
| android\app\src\debug                                                                                          |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                           |          5 |         61 |         48 |          8 |        117 |
| android\app\src\main\res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |          8 |          3 |          2 |         13 |
| android\gradle                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |         48 |      7,740 |        558 |        503 |      8,801 |
| lib\Login                                                                                                      |          4 |        868 |        109 |         61 |      1,038 |
| lib\custom_drawer                                                                                              |          2 |        537 |         33 |         25 |        595 |
| lib\fitness_app                                                                                                |         26 |      4,561 |        330 |        309 |      5,200 |
| lib\fitness_app\announcement                                                                                   |          1 |        146 |          1 |         20 |        167 |
| lib\fitness_app\bottom_navigation_view                                                                         |          1 |        356 |          1 |         22 |        379 |
| lib\fitness_app\message                                                                                        |          4 |        451 |         20 |         31 |        502 |
| lib\fitness_app\models                                                                                         |          1 |         45 |          0 |          5 |         50 |
| lib\fitness_app\online_test                                                                                    |          6 |      1,419 |        169 |         94 |      1,682 |
| lib\fitness_app\online_test\models                                                                             |          1 |         22 |         18 |          4 |         44 |
| lib\fitness_app\robot                                                                                          |          8 |      1,480 |         93 |         80 |      1,653 |
| lib\fitness_app\ui_view                                                                                        |          2 |        188 |         34 |          7 |        229 |
| lib\introduction_animation                                                                                     |          8 |        887 |         14 |         51 |        952 |
| lib\introduction_animation\components                                                                          |          7 |        777 |         14 |         40 |        831 |
| test                                                                                                           |          1 |          5 |         20 |          7 |         32 |
| web                                                                                                            |          2 |        102 |         14 |          7 |        123 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Final\源代码\Front_end\best_flutter_ui_templates\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\analysis_options.yaml                                         | YAML       |          3 |         23 |          4 |         30 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\build.gradle                                      | Groovy     |         61 |          5 |         15 |         81 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\AndroidManifest.xml                      | XML        |         35 |         16 |          2 |         53 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\app\src\profile\AndroidManifest.xml                   | XML        |          8 |          3 |          2 |         13 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\build.gradle                                          | Groovy     |         27 |          0 |          5 |         32 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\gradle.properties                                     | Properties |          4 |          0 |          1 |          5 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\key.properties                                        | Properties |          4 |          0 |          0 |          4 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\android\settings.gradle                                       | Groovy     |         12 |          0 |          4 |         16 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\Login\Login_dialog.dart                                   | Dart       |         38 |          3 |          4 |         45 |
